id,code,name,menudeo,mayoreo,empaque,stock
318,PLA-011,PLASTILINA MARQUETA 180 G RS,9.4,8.3,7.9,153
319,PLA-012,PLASTILINA MARQUETA 180 G RS CARNE,9.4,8.3,7.9,101
320,PLA-013,PLASTILINA MARQUETA 180 G VD,9.4,8.3,7.9,147
321,PLA-014,PLASTILINA MARQUETA 180 G VD CL,9.4,8.3,7.9,117
322,PLA-015,PLASTILINA MARQUETA 180 G VNE,9.4,8.3,7.9,106
323,PLA-016,PLASTILINA MARQUETA 180 G VIOLETA,9.4,8.3,7.9,148
324,PLA-017,PLASTILINA MARQUETA 180 G ANE,9.4,8.3,7.9,102
325,PLA-018,PLASTILINA MARQUETA 180 G AQUA,9.4,8.3,7.9,109
326,PLA-019,PLASTILINA MARQUETA 180 G LAVANDA,9.4,8.3,7.9,146
327,PLA-020,PLASTILINA C/10 BARRAS COL. PASTEL,15,13.2,12.5,131
328,PLA-021,PLASTILINA C/10 BARRAS COL. NEON,15,13.2,12.5,37
329,PLA-023,PLASTILINA C/10 BARRAS COL. GLITTER,28,25.3,24,0
330,PLA-024,PLASTILINA MARQUETA 180 G MAGENTA,9.4,8.3,7.9,140
331,PLA-025,PLASTILINA MARQUETA 180 G RS CANELA,9.4,8.3,7.9,92
332,PLU-002,BOLSA MARKANA TWIST / COLORELLA STAR C/6,19.9,17.6,16.6,40
333,PLU-003,MARKANA TWIST AM C/100,324.8,286.6,270.7,7
334,PLU-004,MARKANA TWIST AZ C/100,324.8,286.6,270.7,9
335,PLU-005,MARKANA TWIST AZ CL C/100,324.8,286.6,270.7,3
336,PLU-006,MARKANA TWIST CF C/100,324.8,286.6,270.7,0
337,PLU-007,MARKANA TWIST GRIS C/100,324.8,286.6,270.7,0
338,PLU-008,MARKANA TWIST MAG C/100,324.8,286.6,270.7,4
339,PLU-009,MARKANA TWIST NEGRO C/100,324.8,286.6,270.7,11
340,PLU-010,MARKANA TWIST NJ C/100,324.8,286.6,270.7,1
341,PLU-011,MARKANA TWIST ROJO C/100,324.8,286.6,270.7,7
342,PLU-012,MARKANA TWIST RS C/100,324.8,286.6,270.7,1
343,PLU-013,MARKANA TWIST VD C/100,324.8,286.6,270.7,4
344,PLU-014,MARKANA TWIST VD CL C/100,324.8,286.6,270.7,0
345,PLU-015,MARKANA TWIST VTA C/100,324.8,286.6,270.7,7
346,PLU-016,BOLSA MARKANA TWIST C/6 PASTEL COL. SURT,19.9,17.6,16.6,27
347,PLU-017,BOLSA MARKANA TWIST  ET C/24 (4 PASTEL),80,68,64.5,22
348,PLU-021,MARKANA TWIST CARNE C/100,324.8,286.6,270.7,1
349,PLU-022,MARKANA TWIST CARMIN C/100,324.8,286.6,270.7,6
350,PLU-023,MARKANA TWIST TURQUESA 3145 C/100,324.8,286.6,270.7,1
351,PLU-032,MARKANA COLORELLA STAR NARANJA CLARO C/100,324.8,286.6,270.7,5
352,PLU-033,MARKANA COLORELLA STAR CAFÉ CLARO C/100,324.8,286.6,270.7,5
353,PLU-034,MARKANA COLORELLA STAR VERDE AQUA  C/100,324.8,286.6,270.7,4
354,PLU-035,ROLLO DE MARKANA TWIST AM C/10,32.5,28.7,27.1,12
355,PLU-036,ROLLO DE MARKANA TWIST AZ C/10,32.5,28.7,27.1,14
356,PLU-037,ROLLO DE MARKANA TWIST AZ CLARO C/10,32.5,28.7,27.1,10
357,PLU-038,ROLLO DE MARKANA TWIST CAFE C/10,32.5,28.7,27.1,14
358,PLU-039,ROLLO DE MARKANA TWIST GRIS C/10,32.5,28.7,27.1,0
359,PLU-040,ROLLO DE MARKANA TWIST MAGENTA C/10,32.5,28.7,27.1,0
360,PLU-041,ROLLO DE MARKANA TWIST NEGRO C/10,32.5,28.7,27.1,20
361,PLU-042,ROLLO DE MARKANA TWIST NARANJA C/10,32.5,28.7,27.1,8
362,PLU-043,ROLLO DE MARKANA TWIST ROJO C/10,32.5,28.7,27.1,17
363,PLU-044,ROLLO DE MARKANA TWIST ROSA C/10,32.5,28.7,27.1,0
364,PLU-045,ROLLO DE MARKANA TWIST VERDE C/10,32.5,28.7,27.1,9
365,PLU-046,ROLLO DE MARKANA TWIST VD CLARO C/10,32.5,28.7,27.1,0
366,PLU-047,ROLLO DE MARKANA TWIST VIOLETA C/10,32.5,28.7,27.1,13
367,PLU-048,ROLLO DE MARKANA TWIST CARNE C/10,32.5,28.7,27.1,7
368,PLU-049,ROLLO DE MARKANA TWIST CARMIN C/10,32.5,28.7,27.1,0
369,PLU-050,ROLLO DE MARKANA TWIST TURQUESA C/10,32.5,28.7,27.1,0
370,PLU-051,ROLLO DE MARKANA STAR NARANJA CLARO C/10,32.5,28.7,27.1,0
371,PLU-052,ROLLO DE MARKANA STAR CAFE CLARO C/10,32.5,28.7,27.1,0
372,PLU-053,ROLLO DE MARKANA STAR VERDE AQUA C/10,32.5,28.7,27.1,0
373,PLU-073,COLORELLA STAR PELIKAN ET C/30,99.8,88,83.1,0
374,PLU-077,MARKANA COLORELLA STAR AZUL CL 284C  C/100,324.8,286.6,270.7,0
375,PLU-078,MARKANA COLORELLA STAR VIOLETA CL 265C  C/100,324.8,286.6,270.7,2
376,PLU-079,MARKANA COLORELLA STAR MAGENTA 240C  C/100,324.8,286.6,270.7,0
377,PLU-080,MARKANA COLORELLA STAR MORADO 513C  C/100,324.8,286.6,270.7,2
378,PLU-081,MARKANA COLORELLA STAR VERDE 3395C  C/100,324.8,286.6,270.7,0
379,PLU-082,MARKANA COLORELLA STAR ROJO  C/100,324.8,286.6,270.7,0
380,PLU-083,MARKANA COLORELLA STAR AZUL CL 2925C C/100,324.8,286.6,270.7,0
381,PLU-084,MARKANA COLORELLA STAR AZUL 286C C/100,324.8,286.6,270.7,2
382,PLU-085,ROLLO MARKANA STAR AZUL CL 284C  C/10,32.5,28.7,27.1,0
383,PLU-086,ROLLO DE MARKANA STAR VIOLETA CL 265C  C/10,32.5,28.7,27.1,0
384,PLU-087,ROLLO DE MARKANA STAR MAGENTA 240C  C/10,32.5,28.7,27.1,0
385,PLU-088,ROLLO DE MARKANA STAR MORADO 513C  C/10,32.5,28.7,27.1,0
386,PLU-089,ROLLO DE MARKANA STAR VERDE 3395C  C/10,32.5,28.7,27.1,0
387,PLU-090,ROLLO DE MARKANA STAR ROJO  C/10,32.5,28.7,27.1,0
388,PLU-091,ROLLO DE MARKANA STAR AZUL CL 2925C C/10,32.5,28.7,27.1,0
389,PLU-092,ROLLO DE MARKANA STAR AZUL 286C C/100,32.5,28.7,27.1,0
390,SCC-001,SACAPUNTAS V-BLADE 1 ORIFICIO C/12,244.5,215.8,203.8,8
391,SCC-002,SACAPUNTAS V-BLADE 2 ORIFICIOS C/12,342.1,301.9,285.1,4
392,SCC-003,SACAPUNTAS PLASTICO 303 S/DEP 1 ORIF JUMBO C/30,110.2,97.2,91.8,0
393,SCC-005,TJ 1 SACAPUNTAS METALICO 202 S/DEP 1 ORIF,20,17,15,0
394,TCH-001,TINTA CHINA PELIKAN 523  15 ML. NEGRA,155.1,136.9,129.2,19
395,TCH-002,TINTA CHINA PELIKAN 523  15 ML. ROJO,155.1,136.9,129.2,31
396,TCH-003,TINTA CHINA PELIKAN 523  15 ML. AZUL,155.1,136.9,129.2,16
397,TCH-006,TINTA P/SELLOS GIRAPLICA NEGRA,27,23.8,22.5,70
398,TCH-007,TINTA P/SELLOS GIRAPLICA ROJA,27,23.8,22.5,59
399,TCH-008,TINTA P/SELLOS GIRAPLICA AZUL,27,23.8,22.5,53
400,TIJ-001,"TIJERA PELIKAN ESCOLAR 5"" C/12",12.4,10.9,10.3,152
401,TIJ-002,"TIJERA CRASH 5""",12.4,10.9,10.3,0
402,TIJ-003,TJ TIJERA METALICA 7,125.1,110.4,104.3,0
403,APA-011,BOLIGRAFO PIN POINT FINO CUERPO AMARILLO  C/12 ROJ,47.5,38.9,35.5,74
404,APA-012,BOLIGRAFO PIN POINT FINO CUERPO AMARILLO C/12  AZU,47.5,38.9,35.5,44
405,APA-013,BOLIGRAFO PIN POINT FINO CUERPO AMARILLO C/12  NEG,47.5,38.9,35.5,46
406,APA-014,REGISTRADOR LEFORT CARTA MARMOLEADO,59.2,52.3,49.4,0
407,APA-015,BOLIGRAFO PIN POINT FINO MANDALA BOLSA C/10,47.9,39.9,37.8,61
408,APA-064,BOLIGRAFO PIN POINT FINO CUERPO AHUMADO NEGRO C/12,47.5,38.9,35.5,67
409,APA-065,BOLIGRAFO PIN POINT FINO CUERPO AHUMADO AZUL C/12,47.5,38.9,35.5,63
410,APA-066,BOLIGRAFO PIN POINT FINO CUERPO AHUMADO ROJO C/12,47.5,38.9,35.5,105
411,APA-067,BOLIGRAFO PIN POINT FINO GREKS BOLSA C/8,46.6,41.2,38.9,33
412,APA-068,BOLIGRAFO PIN POINT ULTRAFINO NEGRO C/12,52.4,44,42,58
413,APA-069,BOLIGRAFO PIN POINT ULTRAFINO ROJO C/12,52.4,44,42,42
414,APA-070,BOLIGRAFO PIN POINT ULTRAFINO AZUL C/12,52.4,44,42,52
415,APA-086,REGISTRADOR LEFORT OFICIO MARMOLEADO,62.7,55.4,52.3,15
416,APA-096,BOLIGRAFO PIN POINT FINO CUERPO AHUMADO VERDE C/12,47.5,38.9,35.5,33
417,APA-110,BOLIGRAFO PIN POIN P.ULTRAFINO BOLSA C/10,52,45.8,43.3,47
418,APA-111,BOLIGRAFO PIN POIN CPO AMA FINO (5NE-3AZ-2RO) C/10,51,44.9,42.5,41
419,APA-112,BOLIGRAFO PIN POINT FINO ESPIROGRAFO BOLSA C/8,47.8,42.2,39.8,44
420,APA-116,BOLIGRAFO PIN POINT GREKS CJ C/12(6NGO-4AZ-2RJ),60.3,53.3,50.3,79
421,AZO-001,ESTILOGRAFO DESECHABLE C/3 NE ( 0.1-0.3-0.6),120,105,100,0
422,AZO-002,ESTILOGRAFO DESECHABLE C/6 NE ( 0.1 AL 0.8),215,190,180,1
423,AZO-003,ROLLER ECO UB120 NE C/12 0.5,315,275,263,0
424,AZO-004,ROLLER ECO UB120 AZ C/12 0.5,315,275,263,0
425,AZO-005,JUEGO GEOMETRICO SABLON S/COMPAS,26.5,23,21.7,24
426,AZO-137,LAPICERA SABLON ECO CON SEPARADOR COL SURT C/1PZ,34,31,29.5,0
427,AZO-138,MARCADOR ALUMINIO MAGISTRAL NEGRO C/12,275,243,229.5,12
428,AZO-139,MARCADOR ALUMINIO MAGISTRAL ROJO C/12,275,243,229.5,12
429,AZO-140,MARCADOR ALUMINIO MAGISTRAL AZUL C/12,275,243,229.5,12
430,AZO-141,MARCADOR MAGISTRAL DIDACTICO PTO FINO NEGRO C/12,145,128,121,11
431,AZO-142,MARCADOR MAGISTRAL DIDACTICO PTO FINO ROJO C/12,145,128,121,12
432,AZO-143,MARCADOR MAGISTRAL DIDACTICO PTO FINO AZUL C/12,145,128,121,12
433,AZO-144,MARCADOR MAGISTRAL DIDACTICO PTO FINO EST C/4 SURT,53.5,47.5,44.8,17
434,AZO-145,MARCADOR MAGISTRAL DIDACTICO PTO FINO EST C/8 SURT,79.8,70.5,66.5,21
435,BIL-001,MARC. AZOR DETECTOR DE  BILLETES BLISTER C/1,22.7,20,19,21
436,CAR-001,CARPETA KINERA O-1 CARTA BLANCO C/CRISTAL,49,43.2,40.9,21
437,CAR-002,CARPETA KINERA O-1 CARTA NEGRO C/CRISTAL,49,43.2,40.9,36
438,CAR-003,CARPETA KINERA O-1 CARTA AZUL C/CRISTAL,49,43.2,40.9,33
439,CAR-004,CARPETA KINERA O-1 CARTA MORADO C/CRISTAL,49,43.2,40.9,22
440,CAR-005,CARPETA KINERA O-1 CARTA ROJO C/CRISTAL,49,43.2,40.9,20
441,CAR-006,CARPETA KINERA O-1 CARTA NARANJA C/CRISTAL,49,43.2,40.9,26
442,CAR-007,CARPETA KINERA O-1 CARTA ROSA C/CRISTAL,49,43.2,40.9,34
443,COJ-001,COJIN PLASTICO No 0 SIN TINTA STAFFORD-AZOR,24.2,21.3,20.2,44
444,COJ-002,COJIN PLASTICO No 2 SIN TINTA STAFFORD-AZOR,48.2,42.6,40.3,49
445,COJ-003,COJIN PLASTICO No 1 SIN TINTA STAFFORD-AZOR,27.9,24.7,23.3,43
446,DIE-016,PROTECTORES DE HOJAS TAMAÑO CARTA KINERA C/25,69.8,61.6,58.2,7
447,DIE-017,PROT DE HOJAS KINERA LIGTH BOLSA C/100,106,93.6,88.3,53
448,END-014,ENGRAPADORA TIRA COMPLETA PEGASO M-206,138.3,122.4,115.8,0
449,END-015,ENGRAPADORA MEDIA TIRA PEGASO M-204,120.3,106.1,101.1,0
450,FOL-001,FOLIADOR 6 DIGITOS PEGASO,553,488,460.9,0
451,FOL-002,FOLIADOR 8 DIGITOS PEGASO 800F,766,676.6,638.3,0
452,GIS-005,GISES PASTEL AZOR DE C/12,47.4,41.9,39.5,31
453,GIS-006,GISES PASTEL AZOR DE C/24,92,81.1,76.6,31
454,GTZ-001,MARCADOR PARA PIZARRON MAGISTRAL GRIP C/4 (PLASTICO) 301.8394,0,0,55.45,0
455,GTZ-002,MARCATEXTOS VISION PLUS C/5 COL. SURT 301.2625,0,0,36.75,0
456,GTZ-003,MARCADOR PERMANENTE SIGNAL DUO NEGRO BL/1 301.3301NE,0,0,12.24,0
457,GTZ-004,MARCATEXTOS VISION PLUS AMARILLO 2600AM,0,0,7.18,0
458,GTZ-005,MARCADOR PARA PIZARRON MAGISTRAL C/GRIP NEGRO #82001,0,0,13.76,0
459,GTZ-006,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO VERDE 8350VE,225.7,199.1,188,17
460,GTZ-007,MARCADOR PARA PIZARRON MAGISTRAL ALUMINIO C/4 830-4,85.3,79.9,75.7,46
461,GTZ-008,MARCADOR PARA PIZARRON MAGISTRAL (PLASTICO) C/4 83474,0,0,52.99,0
462,GTZ-009,MARCADOR PARA PIZARRON MAGISTRAL (PLASTICO) C/8 #83478,0,0,90.8,0
463,GTZ-010,MARCADOR PARA PIZARRON MAGISTRAL (PLASTICO) AZUL 301.83403,0,0,13.49,0
464,GTZ-011,MARCADOR PARA PIZARRON MAGISTRAL (PLASTICO) NEGRO 301.83401,0,0,13.49,0
465,GTZ-012,MARCADOR PARA PIZARRON MAGISTRAL (PLASTICO) ROJO 301.83402,0,0,13.49,0
466,GTZ-013,MARCADOR PERMANENTE SIGNAL P/FINO NEGRO 30001,0,0,7.84,0
467,GTZ-014,MARCADOR PERMANENTE SIGNAL DUO NEGRO 3300NE,0,0,10.63,0
468,GTZ-015,CUTTER CORTY GRANDE P. DE FLECHA 5025 C/25PZ,344.9,304.4,287.5,1
469,GTZ-016,PROTECTOR DE HOJAS KINERA CARTA No.360 C/100,159.8,141.1,133.2,12
470,GTZ-017,REGISTRADOR LEFORT CARTA MARMOLEADO 0001O,0,0,32.75,0
471,GTZ-018,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO NEGRO 8350NE,225.7,199.1,188,19
472,GTZ-019,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO ROJO 8350 RO,225.7,199.1,188,14
473,GTZ-020,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO AZUL 8350 AZ,225.7,199.1,188,10
474,GTZ-021,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO EST/4 8354,79.7,70.4,66.4,0
475,GTZ-022,BOLIGRAFO AZOR PIN POINT MEDIANO NEGRO BOLSA C/3 301-6833NE,0,0,7.62,0
476,GTZ-023,BOLIGRAFO AZOR PIN POINT MEDIANO ROJO BOLSA C/3 301-6833RO,0,0,7.62,0
477,GTZ-024,BOLIGRAFO AZOR PIN POINT MEDIANO SURTIDO BOLSA C/3 301-6833,0,0,7.62,0
478,GTZ-025,BOLIGRAFO AZOR PIN POINT FINO AZUL BOLSA C/2 301-6822AZ,0,0,5.83,0
479,GTZ-026,BOLIGRAFO AZOR PIN POINT FINO NEGRO C/2 301-6822NE,0,0,5.83,0
480,GTZ-027,BOLIGRAFO AZOR PIN POINT FINO ROJO BOLSA C/2 301-6822RO,0,0,5.83,0
481,GTZ-028,BOLIGRAFO AZOR PIN POINT FINO AZUL BOLSA C/3 301-6823-AZ,0,0,8.29,0
482,GTZ-029,BOLIGRAFO AZOR PIN POINT FINO NEGRO BOLSA /3 301-6823NE,0,0,8.29,0
483,GTZ-030,BOLIGRAFO AZOR PIN POINT FINO ROJO BOLSA C/3 301-6823RO,0,0,8.29,0
484,GTZ-031,BOLIGRAFO AZOR PIN POINT FINO SURTIDO BOLSA C/3 301-6823,0,0,8.29,0
485,GTZ-032,BOLIGRAFO AZOR PIN POINT FINO SURTIDO FASHION BOLSA C/4 301-6804CS,0,0,9.93,0
486,GTZ-033,BOLIGRAFO AZOR PIN POINT FINO SURTIDO BOLSA C/10 301-6810NRA,0,0,25.69,0
487,GTZ-034,BOLIGRAFO AZOR PIN POINT FINO SURTIDO FASHION BOLSA C/10 301-6810,0,0,25.69,0
488,GTZ-035,BOLIGRAFO AZOR PIN POINT FINO BOLSA C/8 Y ESPIROGRAFO MOD 6808,0,0,25.69,0
489,GTZ-036,BOLIGRAFO AZOR PIN POINT MEDIANO 6830AZ AZUL,0,0,23.4,0
490,GTZ-037,BOLIGRAFO AZOR PIN POINT MEDIANO 6830NE NEGRO,0,0,23.4,0
491,GTZ-038,BOLIGRAFO AZOR PIN POINT MEDIANO 6830RO ROJO,0,0,23.4,0
492,GTZ-039,BOLIGRAFO AZOR PIN POINT MEDIANO 6830VE VERDE,0,0,23.4,0
493,LGR-062,CUTTER CORTY CHICO BOTE C/50,155.6,137.3,129.6,8
494,LGR-067,BOLIGRAFO PIN POINT BOTE C/36 COL. SURTIDOS,142.7,125.9,119,8
495,LGR-073,BOLIGRAFO MEDIANO PIN POINT NEGRO C/12,38.6,34.5,31,114
496,LGR-075,BOLIGRAFO MEDIANO PIN POINT AZUL C/12,38.6,34.5,31,61
497,LGR-082,BOLIGRAFO MEDIANO PIN POINT ROJO C/12,38.6,34.5,31,58
498,LGR-083,BOLIGRAFO MEDIANO PIN POINT VERDE C/12,38.6,34.5,31,48
499,LGR-116,LAPIZ AZOR EKUZ TRIANGULAR C/10,30.6,27,25.5,64
500,LGR-144,BOLIGRAFO BIG POINT PUNTO DE 1.2MM NEGRO C/12,54.1,47.8,45.2,26
501,LGR-145,BOLIGRAFO BIG POINT PUNTO DE 1.2MM AZUL C/12,54.1,47.8,45.2,43
502,LGR-146,BOLIGRAFO BIG POINT PUNTO DE 1.2MM ROJO C/12,54.1,47.8,45.2,17
503,LGR-147,BOLIGRAFO BIG POINT 1.2MM BOLSA C/10(5NE 3AZ 2RO),62.9,55.6,52.5,14
504,LGR-149,BOL. ECOLOGICO PIN POINT GREEN MEDIANO NEGRO C/12,65.13,58.15,55.25,19
505,LGR-150,BOL. ECOLOGICO PIN POINT GREEN MEDIANO AZUL C/12,65.13,58.15,55.25,26
506,LGR-151,BOL. ECOLOGICO PIN POINT GREEN MEDIANO ROJO C/12,65.13,58.15,55.25,31
507,LGR-152,BOL. ECOLOGICO PIN POINT GREEN FINO NEGRO C/12,72.9,65.15,61.49,41
508,LGR-153,BOL. ECOLOGICO PIN POINT GREEN FINO AZUL C/12,72.9,65.15,61.49,40
509,LGR-154,BOL. ECOLOGICO PIN POINT GREEN FINO ROJO C/12,72.9,65.15,61.49,41
510,LGR-155,BOLIGRAFO PIN POINT PASTEL BOLSA C/8,54.3,47.9,45.3,36
511,LGR-156,BOLIGRAFO PIN POINT DUO BOLSA C/6 COL. SURT,49.2,43.5,41,27
512,LGR-157,BOLIGRAFO PIN POINT DUO AZUL/ROJO C/12,86.24,76.09,72.35,17
513,LGR-158,BOLIGRAFO PIN POINT DUO NEGRO/AZUL C/12,86.24,76.09,72.35,0
514,LGR-159,BOLIGRAFO PIN POINT DUO NEGRO/ROJO C/12,86.24,76.09,72.35,12
515,LGR-160,BOLIGRAFO SIGNO UMN155 EST. C/8 COL. SURT 0.7MM,280.8,247.8,234,10
516,LGR-162,BOL. PIN POINT GREEN MINI PASTEL FINO BOLSA C/8,41.6,36.7,34.7,22
517,LGR-163,BOL. PIN POINT GREEN MINI PASTEL FINO BOLSA C/4,21.4,19,18,36
518,LGR-164,"BOL.PIN POINT GREEN FINO BOTE C/45 (23NE,17AZ,5RJ)",259.8,229.2,216.5,7
519,LGR-165,BOL. PIN POINT DUO FINO NEGRO/AZUL C/12,95.6,84.3,79.6,31
520,LGR-166,BOL. PIN POINT DUO FINO AZUL/ROJO C/12,95.6,84.3,79.6,57
521,LGR-167,BOL. PIN POINT DUO FINO NEGRO/ROJO C/12,95.6,84.3,79.6,53
522,LGR-169,BOLIGRAFO PIN POINT C/AMA RETRACTIL FINO NEGROC/12,73.5,64.8,61.2,32
523,LGR-170,BOLIGRAFO PIN POINT C/AMA RETRACTIL FINO AZUL C/12,73.5,64.8,61.2,31
524,LGR-171,BOLIGRAFO PIN POINT C/NGR RETRACTIL MED NEGROC/12,73.5,64.8,61.2,34
525,LGR-172,BOLIGRAFO PIN POINT C/NGR RETRACTIL MED AZUL C/12,73.5,64.8,61.2,18
526,LGR-173,MARCADOR SIGNAL METALINK BRONCE C/12,182.7,161.2,152.3,19
527,LGR-174,BOLIGRAFO RETRACTIL 3-1 C/AZUL  P/FINO NRA,52,49,47,10
528,LGR-175,BOLIGRAFO RETRACTIL FINO C/AMAR BOLSA C/3NRA ,20,17,16,24
529,LIP-001,MAGISTRAL LIMPIADOR PARA PIZARRON 237ML,59.9,52.9,49.9,16
530,MPE-015,MARC PERM SIGNAL PUNTO FINO NEGRO C/12,99.4,95.6,87.6,0
531,MPE-016,MARC PERM SIGNAL PUNTO FINO ROJO C/12,99.4,95.6,87.6,16
532,MPE-017,MARC PERM SIGNAL PUNTO FINO AZUL C/12,99.4,95.6,87.6,11
533,MPE-018,MARC PERM SIGNAL DUO NEGRO C/12,209.7,185,175,17
534,MPE-019,MARC PERM SIGNAL DUO ROJO C/12,209.7,185,175,6
535,MPE-020,MARC PERM SIGNAL DUO AZUL C/12,209.7,185,175,8
536,MPE-029,EST. MAGISTRAL AROMA C/4 COLORES,75.4,66.5,62.8,26
537,MPE-030,EST. MARCADOR MAGISTRAL C/8 COLORES,138.9,122.5,115.7,39
538,MPE-041,MARCADOR PERMANENTE SIGNAL JUMBO NEGRO,180,158.9,150,8
539,MPE-042,MARCADOR PERMANENTE SIGNAL JUMBO ROJO,180,158.9,150,1
540,MPE-043,MARCADOR PERMANENTE SIGNAL JUMBO AZUL,180,158.9,150,2
541,MPE-044,MARCADOR SIGNAL METALINK DORADO C/12,182.7,161.2,152.3,12
542,MPE-045,MARCADOR SIGNAL METALINK BLANCO C/12,182.7,161.2,152.3,13
543,MPE-046,MARCADOR SIGNAL METALINK PLATEADO C/12,182.7,161.2,152.3,15
544,MPE-047,MARCADOR PERMANENTE SIGNAL XTRA NEGRO C/12,208,183.6,173.3,20
545,MPE-048,MARCADOR PERMANENTE SIGNAL XTRA AZUL C/12,208,183.6,173.3,15
546,MPE-049,MARCADOR PERMANENTE SIGNAL XTRA ROJO C/12,208,183.6,173.3,12
547,MPE-050,MARCADOR SIGNAL METALINK ESTUCHE C/4,73.1,64.6,61,10
548,MPE-051,MARC. PARA VIDRIO AQUARELO GLASS JR C/3 AMA/VIO/AZ,72.7,64.2,60.7,14
549,MPE-052,MARC. PARA VIDRIO AQUARELO GLASS JR C/3 RO/BCO/VE,72.7,64.2,60.7,12
550,MPE-053,AQUARELO GRIP BOLSA C/4 COL. SURT,39.7,35,33.1,29
551,MPE-054,AQUARELO GRIP BOLSA C/8 COL. SURT,79.5,70.2,66.3,3
552,MPE-055,SIGNAL BRUSH BOLSA C/4 (NG-RJ-AZ-VDE),59.5,52.5,49.6,1
553,MPE-056,SIGNAL BRUSH BOLSA C/4 (MG-AMA-VIO-NJA),59.5,52.5,49.6,5
554,MPE-057,SIGNAL BRUSH BOLSA C/8 COL. SURTIDOS,116.4,110,105,9
555,MPE-065,MARCADOR PERMACROM AZOR NEGRO C/12,85.5,77.5,75.2,0
556,MPE-066,MARCADOR PERMACROM AZOR ROJO C/12,85.5,77.5,75.2,6
557,MPE-067,MARCADOR PERMACROM AZOR AZUL C/12,85.5,77.5,75.2,4
558,MPE-071,MARC. PARA VIDRIO AQUARELO GLASS JR PASTEL C/4,83.6,73.7,70,8
559,MPE-072,EST. MAGISTRAL DIDACTICO C/4 COLORES PASTEL,75.4,67.1,63.9,63
560,MPE-073,EST. MAGISTRAL DIDACTICO C/8 COLORES PASTEL,138.9,130.4,124.5,20
561,MPE-076,MARCADOR IMPACTO PLUS AZOR NEGRO C/12,104,91,86.7,11
562,MPE-077,MARCADOR IMPACTO PLUS AZOR ROJO C/12,104,91,86.7,21
563,MPE-078,MARCADOR IMPACTO PLUS AZOR AZUL C/12,104,91,86.7,7
564,MPI-006,MAGISTRAL CON AROMA C/12 NG,225.7,199.1,188,11
565,MPI-007,MAGISTRAL CON AROMA C/12 RJ,225.7,199.1,188,10
566,MPI-008,MAGISTRAL CON AROMA C/12 AZ,225.7,199.1,188,17
567,MPI-009,MAGISTRAL CON AROMA C/12 VDE,225.7,199.1,188,21
568,MPI-010,MARCADOR PARA PIZARRON MAGISTRAL DIDACTICO EST.C/4,79.7,70.4,66.4,35
569,MPI-011,MAGISTRAL DIDACTICO CAJA C/12 (5NGO3AZ3RJ1VDE),228.7,201.8,190.6,15
570,MTE-011,MARCATEXTOS SUBRAYADOR AZOR C/12 AMARILLO,89.4,83,76.6,22
571,MTE-012,MARCATEXTOS SUBRAYADOR AZOR C/12 VERDE,89.4,83,76.6,11
572,MTE-013,MARCATEXTOS SUBRAYADOR AZOR C/12 NARANJA,89.4,83,76.6,15
573,MTE-014,MARCATEXTOS SUBRAYADOR AZOR C/12 ROSA,89.4,83,76.6,24
574,MTE-015,MARCATEXTOS VISION PLUS C/5 COLORES SURT PASTEL,57.8,51,48.1,22
575,MTE-027,MARCATEXTOS VISION PLUS AZOR C/12 AMARILLO,133.5,117.8,111.2,19
576,MTE-028,MARCATEXTOS VISION PLUS AZOR C/12 AZUL,133.5,117.8,111.2,8
577,MTE-029,MARCATEXTOS VISION PLUS AZOR C/12 NARANJA,133.5,117.8,111.2,14
578,MTE-030,MARCATEXTOS VISION PLUS AZOR C/12 ROSA,133.5,117.8,111.2,16
579,MTE-031,MARCATEXTOS VISION PLUS AZOR C/12 VERDE,133.5,117.8,111.2,19
580,MTE-032,MARCATEXTOS VISION PLUS C/5 COLORES SURTIDOS,57.8,51,48.1,13
581,MTE-033,MARCATEXTOS VISION MINI BLISTER C/4 COLORES SURT,29.3,25.8,24.4,0
582,MTE-034,MARCATEXTOS VISION JUNIOR C/5 COLORES PASTEL SURT,45.2,39.9,37.7,44
583,MTE-036,MARCATEXTOS SUBRAYADOR AZOR C/12 AZUL,89.4,83,76.6,0
584,MTE-037,MARCATEXTOS VISION PLUS PASTEL AZOR C/12 AMARILLO,133.5,117.8,111.2,13
585,MTE-038,MARCATEXTOS VISION PLUS PASTEL AZOR C/12 ROSA,133.5,117.8,111.2,5
586,MTE-039,MARCATEXTOS VISION PLUS PASTEL AZOR C/12 MORADO,133.5,117.8,111.2,7
587,MTE-040,MARCATEXTOS VISION PLUS PASTEL AZOR C/12 VERDE,133.5,117.8,111.2,10
588,MTE-041,MARCATEXTOS VISION PLUS PASTEL AZOR C/12 NARANJA,133.5,117.8,111.2,14
589,PCO-014,PLUM ACUARELO CLASICO ESTUCHE C/12 VIN,73.6,67.2,61.3,0
590,PCO-015,PLUM ACUARELO CLASICO MAGENTA CJ-12,76.5,69.7,63.5,0
591,PCO-016,PLUM ACUARELO CLASICO NEGRO CJ-12,76.5,69.7,63.5,22
